timestamp,cpu_usage_percent,memory_usage_percent,disk_usage_percent,process_count,net_bytes_sent,net_bytes_recv
2026-04-19 18:28:34,100.0,10.6,0.5,746,5577428,415511836
2026-04-19 18:28:39,100.0,10.6,0.5,744,5577428,415511836
2026-04-19 18:28:44,100.0,10.6,0.5,744,5577428,415511836
2026-04-19 18:28:49,100.0,10.6,0.5,744,5577428,415511836
2026-04-19 18:28:54,100.0,10.6,0.5,744,5577428,415511836
2026-04-19 18:28:59,100.0,10.6,0.5,744,5577428,415511836
2026-04-19 18:29:04,100.0,10.6,0.5,744,5577548,415511956
2026-04-19 18:29:09,100.0,10.6,0.5,744,5577668,415512076
2026-04-19 18:29:15,100.0,10.6,0.5,744,5577668,415512076
2026-04-19 18:29:20,100.0,10.6,0.5,744,5577668,415512076
2026-04-19 18:29:25,100.0,10.6,0.5,744,5577668,415512076
2026-04-19 18:29:30,100.0,10.6,0.5,744,5577668,415512076
2026-04-19 18:29:35,100.0,10.6,0.5,746,5577668,415512076
2026-04-19 18:29:40,100.0,10.6,0.5,745,5577798,415512206
2026-04-19 18:29:45,100.0,10.6,0.5,745,5577928,415512336
2026-04-19 18:29:50,100.0,10.6,0.5,744,5577928,415512336
2026-04-19 18:29:55,100.0,10.6,0.5,744,5577928,415512336
2026-04-19 18:30:00,5.5,8.6,0.5,44,5577928,415512336
2026-04-19 18:30:05,0.0,8.6,0.5,44,5577928,415512336
